lang,sentiment,count
Bulgarian,negative,5
Bulgarian,neutral,371
Bulgarian,positive,7
Czech,negative,34
Czech,neutral,868
Czech,positive,73
Danish,negative,59
Danish,neutral,597
Danish,positive,118
Dutch,negative,593
Dutch,neutral,11303
Dutch,positive,988
English,negative,81122
English,neutral,129555
English,positive,115440
Estonian,negative,14
Estonian,neutral,193
Estonian,positive,25
Finnish,negative,25
Finnish,neutral,1221
Finnish,positive,35
French,negative,1300
French,neutral,20172
French,positive,1820
German,negative,324
German,neutral,9469
German,positive,702
Greek,negative,18
Greek,neutral,923
Greek,positive,20
Hebrew,neutral,353
Hebrew,positive,2
Hungarian,negative,4
Hungarian,neutral,160
Hungarian,positive,13
Italian,negative,914
Italian,neutral,12408
Italian,positive,774
Latvian,negative,15
Latvian,neutral,286
Latvian,positive,23
Lithuanian,negative,28
Lithuanian,neutral,910
Lithuanian,positive,11
Polish,negative,114
Polish,neutral,3199
Polish,positive,213
Portuguese,negative,436
Portuguese,neutral,15044
Portuguese,positive,486
Romanian,negative,45
Romanian,neutral,506
Romanian,positive,56
Slovenian,negative,13
Slovenian,neutral,363
Slovenian,positive,24
Spanish,negative,6
Spanish,neutral,181
Spanish,positive,11
